chr1	x1	x2	chr2	y1	y2	color	o	e_bl	e_donut	e_h	e_v	fdr_bl	fdr_donut	fdr_h	fdr_v	num_collapsed	centroid1	centroid2	radius
11	111230000	111240000	11	111280000	111290000	255,255,0	786	339.584	346.994	321.186	410.156	3.96790043427e-61	2.12566094693e-61	3.82618970448e-61	1.36074329027e-28	4	111235000	111292500	10307.764064
14	24800000	24810000	14	24900000	24910000	255,255,0	677	245.5	193.025	216.792	274.372	2.1234110731e-64	2.96314506412e-102	4.93658374593e-102	6.34464995336e-64	10	24810000	24899000	28653.0975638
1	203240000	203250000	1	203290000	203300000	255,255,0	615	236.462	205.126	228.947	257.657	1.47909398319e-77	1.35522896982e-77	2.25780417754e-77	1.8005866261e-45	7	203242142	203305000	12857.1428571
12	50030000	50040000	12	50100000	50110000	255,255,0	610	233.772	216.754	253.707	234.538	5.85577323707e-76	7.15385104824e-76	9.6999915902e-44	3.37932923509e-75	8	50037500	50105000	17500.0
1	46500000	46510000	1	46640000	46650000	255,255,0	602	162.342	160.11	224.226	177.787	2.70917804957e-109	3.79021570027e-109	1.19417598173e-72	5.18260918514e-109	7	46500714	46646428	15779.0871674
1	23870000	23880000	1	23960000	23970000	255,255,0	598	170.859	156.881	196.387	182.91	1.03691087319e-107	1.45066725015e-107	2.72490853647e-71	1.98359196672e-107	9	23880555	23958333	19657.5622366
12	108960000	108970000	12	109010000	109020000	255,255,0	588	218.374	194.598	222.916	206.533	5.4054745003e-68	7.42919894377e-68	9.90160439871e-68	2.33959853834e-67	6	108956666	109016666	11785.1130198
8	11270000	11280000	8	11320000	11330000	255,255,0	584	218.224	177.079	233.12	183.046	1.12274088562e-66	3.07254584739e-101	2.28511876474e-66	4.20129237746e-101	4	11270000	11330000	7071.06781187
1	204410000	204420000	1	204460000	204470000	255,255,0	578	221.117	229.691	222.445	266.194	1.24368826595e-64	2.27907406371e-64	2.71208938361e-64	1.00350894561e-35	7	204409285	204469285	16720.9998725
14	24710000	24720000	14	24760000	24770000	255,255,0	577	275.403	262.732	278.098	302.353	9.04728791878e-36	2.79048880387e-35	2.91039261966e-35	1.35164301437e-35	5	24709000	24767000	12649.1106407
17	40470000	40480000	17	40550000	40560000	255,255,0	562	197.578	176.73	205.519	204.21	3.92088606982e-59	1.92785939201e-91	8.97771850408e-59	2.26271824177e-58	11	40477727	40553181	25616.3687338
8	128220000	128230000	8	128310000	128320000	255,255,0	554	177.666	158.292	163.59	204.153	6.03539282501e-88	5.06620980033e-88	3.46396346429e-87	7.05071868426e-56	13	128223461	128308076	29291.4350226
19	10690000	10700000	19	10750000	10760000	255,255,0	551	167.724	175.151	218.892	210.001	9.153987534e-87	8.53778935569e-87	4.19691501896e-55	5.95000316019e-55	7	10692142	10755000	12857.1428571
1	205240000	205250000	1	205290000	205300000	255,255,0	528	165.8	159.112	167.632	178.742	4.34980424154e-77	4.34678395011e-77	2.0804449418e-76	1.04013722074e-76	5	205243000	205301000	12649.1106407
15	40340000	40350000	15	40390000	40400000	255,255,0	525	247.694	209.581	239.425	242.235	6.57978336686e-24	8.40850807756e-47	9.80597047512e-47	1.57280604818e-23	3	40341666	40398333	7453.559925
6	159460000	159470000	6	159520000	159530000	255,255,0	519	209.841	237.774	248.79	289.831	3.35329229009e-45	5.376830741e-45	3.89510859512e-22	2.41195238849e-22	4	159462500	159522500	17677.6695297
11	64610000	64620000	11	64660000	64670000	255,255,0	518	222.416	210.398	227.469	215.676	5.95952588171e-45	9.70747073014e-45	1.21294455343e-44	1.71960211094e-44	2	64615000	64670000	5000.0
1	12180000	12190000	1	12260000	12270000	255,255,0	518	180.797	181.998	215.589	226.53	4.72766843444e-73	4.96060506121e-73	1.21294455343e-44	1.71960211094e-44	11	12187727	12268636	18652.9859352
15	74670000	74680000	15	74720000	74730000	255,255,0	513	225.789	196.691	234.238	228.9	1.6011642519e-43	2.66741200943e-43	3.49163105247e-43	4.62010818004e-43	6	74673333	74736666	11785.1130198
6	32980000	32990000	6	33040000	33050000	255,255,0	513	221.67	213.744	244.727	220.193	1.6011642519e-43	2.66741200943e-43	5.35447112468e-21	4.62010818004e-43	7	32982142	33050714	17670.4526812
11	46260000	46270000	11	46330000	46340000	255,255,0	511	172.706	175.381	212.052	197.11	2.74705891275e-70	2.69024845954e-70	1.22917697061e-42	1.54899106744e-42	9	46267222	46332777	17916.1283296
6	31510000	31520000	6	31560000	31570000	255,255,0	511	212.433	182.793	207.003	197.043	5.8562716646e-43	2.69024845954e-70	1.22917697061e-42	1.54899106744e-42	4	31517500	31575000	10307.764064
17	41650000	41660000	17	41750000	41760000	255,255,0	510	139.313	132.389	157.866	151.98	2.09067368601e-101	2.40471110069e-101	3.0879625242e-69	2.94429748314e-101	11	41654090	41750454	26000.6357201
12	111830000	111840000	12	111880000	111890000	255,255,0	510	201.45	183.76	208.989	197.826	1.07363379364e-42	6.15857823682e-70	2.31371038055e-42	2.85963316994e-42	3	111831666	111891666	7453.559925
1	182560000	182570000	1	182750000	182760000	255,255,0	504	106.951	89.859	118.919	110.96	4.19461102981e-134	6.62370790177e-173	4.85603375932e-134	4.89997543436e-134	11	182569545	182750454	20570.3790891
15	65130000	65140000	15	65180000	65190000	255,255,0	503	293.513	274.494	273.712	302.551	1.36008335077e-19	4.19495587708e-19	4.37520788742e-19	3.04789762944e-19	3	65131666	65191666	7453.559925
2	231760000	231770000	2	231850000	231860000	255,255,0	497	189.757	193.68	194.474	286.753	8.28414083941e-65	1.24416999216e-38	1.49700815179e-38	3.86319347918e-18	9	231782777	231856111	25939.1500665
1	156350000	156360000	1	156410000	156420000	255,255,0	497	141.939	155.809	166.032	192.694	2.86909631142e-95	7.7264961545e-65	3.16974244348e-64	1.81913276648e-38	5	156355000	156415000	10000.0
6	159420000	159430000	6	159520000	159530000	255,255,0	495	178.694	190.108	250.788	244.787	4.40901025126e-64	4.27038119314e-64	1.11682491575e-17	8.29880386838e-18	8	159430000	159540000	15811.3883008
2	232470000	232480000	2	232530000	232540000	255,255,0	493	211.371	196.744	239.497	191.531	9.61034623897e-38	1.63531437057e-37	2.00747101532e-37	7.51443870276e-63	3	232478333	232531666	7453.55992499
5	131750000	131760000	5	131820000	131830000	255,255,0	489	195.864	217.043	243.989	268.214	1.14158597533e-36	1.96122221131e-36	1.28680160263e-16	9.77916641834e-17	10	131749000	131824000	25238.8589282
16	68290000	68300000	16	68360000	68370000	255,255,0	488	200.499	190.819	230.701	198.568	1.92833095805e-36	1.95454153173e-61	4.54912962187e-36	5.56413723486e-36	11	68291363	68360454	16983.2197202
1	27930000	27940000	1	27990000	28000000	255,255,0	486	237.288	196.059	204.914	229.017	6.63389223457e-36	1.2156689218e-35	1.58501573833e-35	1.91418836276e-35	3	27938333	27991666	7453.559925
1	17050000	17060000	1	234910000	234920000	255,255,0	485	13.1366	26.2321	0.208876	114.827	0.0	0.0	0.0	3.58885820661e-123	1	17055000	234915000	0
20	55970000	55980000	20	56050000	56060000	255,255,0	483	199.289	206.887	220.996	241.349	4.30278232057e-35	7.88490159237e-35	1.03994945649e-34	1.24155406122e-34	9	55965000	56061666	19436.5063161
6	30640000	30650000	6	30690000	30700000	255,255,0	483	190.415	160.674	157.867	181.443	1.54246831262e-59	1.43863747815e-59	5.9019123081e-59	4.21530616007e-59	2	30645000	30700000	5000.0
11	61100000	61110000	11	61150000	61160000	255,255,0	482	175.962	189.012	203.141	191.533	3.33826559709e-59	3.21084963107e-59	1.88794526019e-34	8.7808083265e-59	3	61101666	61158333	7453.559925
14	94400000	94410000	14	94460000	94470000	255,255,0	477	202.457	187.485	207.311	217.729	1.64768481418e-33	2.24023644023e-57	4.25641504338e-33	5.22977595024e-33	6	94411666	94468333	14907.11985
6	30450000	30460000	6	30510000	30520000	255,255,0	474	198.232	190.732	236.543	190.154	1.02047577482e-32	2.73286455217e-56	2.65391658697e-32	7.47364796617e-56	3	30451666	30511666	7453.559925
1	23420000	23430000	1	23510000	23520000	255,255,0	473	160.799	149.319	167.966	155.581	6.84613358212e-56	1.03595926277e-83	2.61952091468e-55	1.57158374102e-55	11	23426818	23508636	22727.2727273
5	151040000	151050000	5	151120000	151130000	255,255,0	472	203.074	187.601	249.298	194.048	3.10342339448e-32	1.41042013446e-55	9.22623956435e-14	1.10869309374e-31	12	151044166	151116666	21682.6863854
22	39560000	39570000	22	39700000	39710000	255,255,0	468	145.197	130.323	153.062	181.193	1.28288190036e-81	1.4755819463e-81	5.41820732811e-81	9.63872077048e-54	9	39563888	39703888	18921.5404066
19	42950000	42960000	19	43030000	43040000	255,255,0	466	161.79	153.007	209.322	174.097	2.26433649327e-53	9.32077788899e-81	3.06954938834e-30	4.69260484226e-53	11	42961363	43030454	16983.2197202
3	52320000	52330000	3	52370000	52380000	255,255,0	466	225.039	213.451	242.862	212.454	1.11316050832e-30	2.37986039709e-30	8.32343386913e-13	3.91024748274e-30	1	52325000	52375000	0
3	52030000	52040000	3	52170000	52180000	255,255,0	464	136.44	127.562	155.642	165.16	6.76689939148e-80	6.22667734056e-80	4.23651538227e-52	2.28101363745e-52	10	52041000	52168000	19104.9731745
10	105170000	105180000	10	105230000	105240000	255,255,0	463	176.103	189.041	209.298	240.199	2.36380679088e-52	2.36216547899e-52	1.74153543227e-29	2.17271122368e-29	7	105179285	105243571	15779.0871674
9	129700000	129710000	9	129960000	129970000	255,255,0	462	174.337	127.812	141.757	169.502	4.76063113491e-52	4.29595896373e-79	1.57743840638e-78	1.10585027562e-51	12	129712500	129958333	22745.5734399
15	43520000	43530000	15	43570000	43580000	255,255,0	461	180.804	218.009	224.272	216.549	1.02403897679e-51	4.19217382797e-29	5.38776441681e-29	6.60098338638e-29	6	43511666	43573333	13437.0962472
8	11330000	11340000	8	11410000	11420000	255,255,0	458	238.597	184.517	203.277	180.088	1.20414056908e-28	1.3076336042e-50	2.980692788e-28	2.74161952192e-50	8	11343750	11406250	14252.1928137
12	54090000	54100000	12	54140000	54150000	255,255,0	456	239.876	202.861	232.619	218.876	3.74202339152e-28	7.59201508638e-28	9.31976781225e-28	1.1157404967e-27	3	54088333	54141666	7453.559925
1	206670000	206680000	1	206750000	206760000	255,255,0	455	216.644	259.454	277.761	294.206	6.27878553235e-28	4.63626684237e-11	3.62661107494e-11	3.17038835544e-11	6	206665000	206760000	11180.3398875
1	55410000	55420000	1	55460000	55470000	255,255,0	454	171.118	173.02	182.186	182.574	2.62638731446e-49	3.08648688709e-49	1.17241688135e-48	6.2064042213e-49	6	55411666	55468333	14907.11985
11	44580000	44590000	11	44630000	44640000	255,255,0	452	204.424	166.744	198.78	188.257	3.32972103179e-27	1.42869287108e-48	9.12287625752e-27	2.93031744705e-48	5	44579000	44643000	12649.1106407
11	120100000	120110000	11	120170000	120180000	255,255,0	452	162.802	160.009	161.54	194.869	1.25329579614e-48	1.42869287108e-48	4.79545791925e-48	1.01900945369e-26	9	120108333	120173888	16703.6626426
14	22860000	22870000	14	22930000	22940000	255,255,0	451	184.196	163.151	199.846	174.791	2.56025156147e-48	2.96430073416e-48	1.5749466016e-26	6.18658796881e-48	8	22863750	22937500	19565.5948031
11	120040000	120050000	11	120090000	120100000	255,255,0	445	216.063	217.538	239.072	230.959	1.59776529076e-25	3.47691042952e-25	4.41334406287e-25	4.86642839688e-25	5	120043000	120101000	12649.1106407
1	31190000	31200000	1	31250000	31260000	255,255,0	444	188.59	137.998	158.309	154.999	6.06355965029e-46	4.54442661442e-71	2.51342691828e-45	1.43612624768e-45	4	31197500	31255000	10307.764064
1	206900000	206910000	1	206980000	206990000	255,255,0	444	171.508	158.794	193.176	182.896	6.06355965029e-46	7.11484898566e-46	7.51560167892e-25	1.43612624768e-45	8	206907500	206978750	16441.1830475
17	45910000	45920000	17	45960000	45970000	255,255,0	443	167.65	167.406	177.722	181.2	1.23266438545e-45	1.50896539236e-45	5.07932536455e-45	3.00117355593e-45	3	45918333	45971666	7453.559925
10	82200000	82210000	10	82260000	82270000	255,255,0	441	159.165	156.235	180.163	174.046	5.66610079591e-45	6.96618064301e-45	2.24543642817e-44	1.36667537767e-44	5	82207000	82269000	16124.5154966
19	42370000	42380000	19	42450000	42460000	255,255,0	437	181.389	148.984	142.977	173.347	1.13274697667e-43	4.0779542824e-68	1.12304175136e-67	2.77366364125e-43	10	42381000	42449000	17088.0074906
1	53740000	53750000	1	53850000	53860000	255,255,0	436	120.518	122.37	142.637	164.067	5.79699697987e-96	9.95839551267e-68	2.43775692152e-67	5.74722474025e-43	12	53745000	53860000	18027.7563773
17	43350000	43360000	17	43460000	43470000	255,255,0	435	142.091	135.289	135.119	192.438	4.68765531276e-67	2.45081000407e-67	5.49948612661e-67	1.18991543171e-42	9	43368333	43462777	27777.7777778
12	92890000	92900000	12	92940000	92950000	255,255,0	433	233.88	232.002	205.275	283.813	1.03252818732e-22	2.29347953834e-22	2.682776833e-22	3.36468240701e-08	4	92892500	92952500	12747.548784
17	26820000	26830000	17	26870000	26880000	255,255,0	430	208.046	196.579	225.523	193.144	4.77230899e-22	1.02028674959e-21	1.19985334546e-21	1.37703447827e-21	3	26818333	26871666	7453.559925
5	133370000	133380000	5	133470000	133480000	255,255,0	427	161.179	153.5	198.074	177.572	2.07677297774e-40	2.53296805338e-40	5.48859175817e-21	4.35729696562e-40	9	133377222	133479444	18324.9138916
12	53600000	53610000	12	53680000	53690000	255,255,0	426	179.822	192.15	238.22	209.788	4.24856447376e-40	5.20087773588e-40	8.85213995515e-21	1.0701342583e-20	5	53605000	53675000	20000.0
10	112110000	112120000	10	112170000	112180000	255,255,0	425	226.47	235.63	275.282	265.401	5.78895823222e-21	1.28416714117e-20	4.17241413351e-07	3.20150063461e-07	2	112115000	112170000	5000.0
1	167570000	167580000	1	167650000	167660000	255,255,0	425	185.622	184.914	182.995	234.423	8.67836567971e-40	1.0660632397e-39	3.51591228013e-39	1.74631196919e-20	8	167576250	167662500	29712.16081
18	13560000	13570000	18	13610000	13620000	255,255,0	423	174.632	144.776	167.856	157.781	3.70129238218e-39	2.49205781785e-62	1.45555666785e-38	7.93874934261e-39	5	13559000	13623000	12649.1106407
15	90700000	90710000	15	90760000	90770000	255,255,0	422	154.679	170.506	199.092	193.175	7.51884813562e-39	9.51726139235e-39	6.66550913953e-20	7.83979313504e-20	5	90703000	90761000	12649.1106407
11	75150000	75160000	11	75240000	75250000	255,255,0	421	144.443	144.792	168.807	181.797	2.98273899349e-61	1.60102711749e-61	5.98805941974e-38	3.34599425992e-38	9	75149444	75245000	24444.4444444
6	32850000	32860000	6	32900000	32910000	255,255,0	421	176.368	219.786	249.123	199.78	1.52485514481e-38	9.50392296383e-20	1.21177615303e-06	1.26875872e-19	10	32863000	32938000	45310.0430368
1	110030000	110040000	1	110080000	110090000	255,255,0	420	241.445	196.823	239.141	195.131	7.1027222054e-20	1.52935954482e-19	1.7880033539e-19	2.04946774966e-19	1	110035000	110085000	0
17	74450000	74460000	17	74500000	74510000	255,255,0	419	195.49	161.245	176.213	183.566	1.12178264214e-19	8.32326422198e-38	2.33057439126e-37	1.39823003513e-37	3	74438333	74508333	43461.349368
